"date","trigo"
2018-10-01,213.4807227
2018-11-01,203.5599318
2018-12-01,211.2761025
2019-01-01,209.8063557
2019-02-01,218.9922732
2019-03-01,205.764552
2019-04-01,199.5181281
2019-05-01,199.5181281
2019-06-01,206.1319887
2019-07-01,196.2111978
2019-08-01,181.1462931
2019-09-01,189.5973372
2019-10-01,199.5181281
2019-11-01,203.1924951
2019-12-01,210.9086658
2020-01-01,224.5038237
2020-02-01,215.3179062
2020-03-01,209.0714823
2020-04-01,218.9922732
2020-05-01,205.764552
2020-06-01,198.415818
2020-07-01,222.13
2020-08-01,223
2020-09-01,247.68
2020-10-01,272.36
2020-11-01,273
2020-12-01,268.55
2021-01-01,289.3
2021-02-01,289.4
2021-03-01,273.13
2021-04-01,280.95
2021-05-01,297.25
2021-06-01,285.55
2021-07-01,294.27
2021-08-01,324.52
2021-09-01,337.55
2021-10-01,354.67
2021-11-01,379.45
2021-12-01,376.81
2022-01-01,374.24
2022-02-01,390.5
2022-03-01,486.3
2022-04-01,495.28
2022-05-01,522.29
2022-06-01,459.59
2022-07-01,382.5
2022-08-01,382.86
2022-09-01,419.14
2022-10-01,437.95
2022-11-01,422.68
2022-12-01,386.33
2023-01-01,380.36
2023-02-01,394.75
2023-03-01,369.86
2023-04-01,378.18
2023-05-01,367.74
2023-06-01,345.5
2023-07-01,345.5
2023-08-01,315.82
2023-09-01,314.68
2023-10-01,298.1
2023-11-01,283.55
2023-12-01,291.12
2024-01-01,283.91
2024-02-01,278.5
2024-03-01,274.83
2024-04-01,272.3
2024-05-01,289.42
2024-06-01,265.55
2024-07-01,260.26
2024-08-01,250.85
2024-09-01,269.69
2024-10-01,272.85
2024-11-01,253.75
2024-12-01,252.17
2025-01-01,254.09
2025-02-01,264.61
2025-03-01,255.37
2025-04-01,249.58
2025-05-01,237
2025-06-01,240.05
2025-07-01,234.96
2025-08-01,231.14
2025-09-01,233.76
2025-10-01,230.78
2025-11-01,245.85
2025-12-01,242.8
